메시지,label
엄마 우리 어디로 여행이나 가자 일본 어때? 요즘 엔화 많이 싸졌다고 하던데 여름에 휴가로 거기 갔다오자,0
아빠 요즘 날씨가 더워서 일 하는데 건강 조심하고 더위 먹지 않도록 몸 관리 신경써,0
엄마 친구들하고 여행 가기로 했는데 돈이 조금 모자라서 혹시 10만원만 좀 보내줄 수 있을까,0
아빠 요번에 나 시험 잘 봤어 혹시 뭐 없어 나 돈 줘,0
야 우리 이번 주 서울 가서 파이브가이즈 먹고 올래 나 파이브가이즈 먹고 싶었던 말이야 좀 비싸긴 한데 그래도 이게 다 추억이야,0
엄마 현대백화점에 있어? 그러면 나 옷 좀 사줘 내가 계좌로 돈 보내줄게,0
우리 오늘 저녁 뭐 먹을까 고기 먹을까 아님 회? 의견 각자 내서 다수결로 정하자 나는 고기 먹고 싶어 너희들은?,0
아니 엄마 아까 뉴스 보는데 또 산불이 났나봐 근데 화재원인이 담배꽁초 때문이라네 진짜 너무 무책임하지 않아?,0
오랜만에 PC방이나 갈래 롤이나 돌리자 너 어디로 갈꺼임 탑? 아 그러면 난 원딜함 ㅇㅋ,0
저희 애들 방학이라 부산에 가려고 하는데 부산 관광지 추천좀 해주실 수 있으세요? 해운대는 저번에 갔다와서 해운대 제외하고 얘기해주세요,0
엄마 나 카드가 한도 초과되서 바지 좀 사려고 하는데 혹시 엄마 돈 좀 빌려줄 수 있어? 내가 갚을게 전화줘,0
벚꽃이 예쁘게 피었는데 우리 벚꽃 구경가자 드라이브도 좋고 어때? 맛있는 것도 먹고 먹고 싶은 거 골라놔 내가 쏜다,0
밥은 언제쯤 먹으러 갈까? 1시에 먹으러 가자 12시는 식당이 붐벼서 조금 여유롭게 1시에 먹으러 가는 거 어때? 그래,0
엄마 나 요번에 카드값 한도 초과되서 혹시 나 돈 좀 빌려줘 제발 부탁해,0
아빠 오늘 엄마 약속있다고 하니까 나 오늘 친구들하고 저녁 먹을 거 같애 아빠는? 알았어,0
아 예약 할 수 있나요? 두명이고 6시 30에 갈 예정인데요 네 감사합니다 ,0
"저녁 시켜먹으려고 하는데 피자, 치킨 어떤게 좋아? 나는 치킨 ",0
너 요번에 월급 얼마나 나왔냐? 세후로? 야 너 많이 받는다 부럽다 야 하 나는 그냥 그렇지 뭐,0
삼촌 지극히 정성으로 대접해주셔서 감사합니다. 잘 먹고 너무 편안히 힐링하고 돌아갑니다. 감사합니다,0
너 어제 이연수 만났냐? 인스타 들어가보니까 너 태그 되어있길래 뭐 먹었냐 그래 알겠다,0
엄마 혹시 어제 우유 상했어? 나 어제 우유 마시고 잤는데 배 아파 유통기한 언제까지야? 아 그래 아 배 너무 아픈데,0
아빠 휴가 언제야 아니 가족끼리 어디 부산 아니면 서울이든 놀러가자 맛있는 거 먹고 돈은 아빠 혼자 내기 뭐하니까 나도 좀 보탤게,0
이모 생신 축하드립니다 건강하시고 행복하세요,0
고모부 저 사랑이에요 생신 축하드립니다 건강하시고 행복한 일만 가득하셨으면 좋겠습니다. 네 감사합니다,0
우리 오늘 뭐 할래 오랜만에 영화나 볼까? 범죄도시 재밌다던데 그거나 보러가자,0
밥 뭐 먹을래? 냉면집 잘하는데 여기 근처에 있던데 갈래? 내가 살게,0
날씨가 너무 좋다 우리 도시락 싸 들고 한강가서 놀까? 어때? ,0
와 모기가 진짜 많다 아 모기는 도대체 왜 존재하는거야 아우 어제 잠을 못잤네,0
오랜만에 술이나 마시자 나와 할맥에서 맥주 한잔 하자 그래 술 마시고 잊어버려,0
와 집에 오는데 배 아파서 죽는 줄 그리고 사람 왜 이렇게 많이 타냐 진짜 진 빠진다,0
삼촌 뭐 하세요? 저 오늘 서울 가는데 삼촌집 갈게요 ㅋㅋㅋ 아니 왜요 ㅠㅠ 알겠어요 엥 정말요?? 그럼 여기로 송금해주세요 제가 계좌번호 드릴게요 아싸 ~~,0
안녕하세요 정효수 학생 맞으시죠 ? 다름이 아니라 학생이 이번 장학금에 신청되서요 입금 받으실 계좌번호랑 은행 예금주 픽스로 보내주세요 아 네네 그 공모저 맞아요 감사합니다 ,0
