메시지,label
엄마랑 쇼핑해 본 적 있어? 웅 나 엄마랑 쇼핑 자주 가  나는 엄마한테 밥 얻어 먹고 옷도 사 달라고 하고,0
웅 진짜 부모님이랑 놀러 자주 다니자 나는 엄마한테 밥 얻어 먹고 옷도 사 달라고 하고 부럽다,0
야 오늘 뭐 하니? 저녁이나 먹을까? 좋지 몇시? 그래 밥 먹고 게임 할래? 아 미안 나 돈이 없다 여기로 송금 좀 해줘,0
형 오늘 뭐 하세요? 담배 한대 하실래요 ? 엥 국밥이요 ? 좋아요 ㅋㅋㅋㅋㅋ 내일은 저 안 될거 같아요 ㅋㅋㅋ,0
엄마 나 오늘 친구네 집에서 자고 갈거 같아 아마 내일 오후 쯤 갈거같아 알겠어 ~~,0
얘들아 오늘 과제 뭐냐 ?? 아 진짜 그것만 하면 돼 ?? 오케이 알겠다 ! 고마워 ㅋㅋㅋ,0
오늘 저녁 짜장면 어때요?? 아 아니에요 ~ 다음에 주세요 ~~ 아 그러면 카카오페이로 송금해주세요 ㅋㅋㅋㅋ 감사해용,0
언니 오늘 저녁에 쇼핑 어때요?? 엥 진짜요 ?? 아 저도 엄마가 알려줘서 알았어요 ㅋㅋㅋㅋㅋ 나중에 밥 한끼해요 ,0
야 오늘 밤 게임 어때? 아 좋아 ㅋㅋㅋ 아 그리고 돈 갚아 짜증나게 하지말고 ㅋㅋㅋㅋㅋ ,0
엄마 오늘 김치찌개 먹고 싶은데 ?? 아빠는?? 아 알겠어 ~ 내가 샀으니까 카카오페이로 송금해줘 ㅋㅋㅋㅋ,0
야 오늘 선생님이 뭐라고 하셨냐?? 아 진짜 ㅠㅠㅠ 아 그리고 나 돈 좀 빌려줘 ㅠㅠ 바로 줄게,0
아빠 어디세요 ?? 엄마가 찾아요 빨리 오시래요 아 진짜요? 감사합니다 ~~ 엥 아빠 용돈 감사해요 ~,0
네 형 그 계좌 맞아요 거기로 보내주시면 돼요 네 형 다음에 소주 한잔 해요 ㅋㅋㅋㅋㅋ 아 거기 알죠 넵 거기로 갈게요,0
니 어디냐?? 진짜 짜증나게 돈 갚아 이년아 ㅡㅡ 화나게 하지마라 진짜 어딘데? 아 계좌 여기로 보내,0
그 영화 재밌던데 ?? 저 오늘 약속 있어서 못 갈거 같아 나 그리고 그 영화 봤어 ~~ ,0
오빠 어디야 ?? 나 지금 엄마가 심부름 시켜서 근데 지갑을 안가져와서 엄마가 오빠한테 받으래 아니면 오빠가 사오든가 여기로 돈 입금해 그럼 ,0
어디 약국이냐? 무슨 애가 맨날 아파 내가 용돈 줬잖아 아 그 은행 계좌로 줬어 응 알겠어 삼촌이 저녁에 치킨 사들고 갈게 ~~,0
삼촌 바빠요 ?? 아니 그게 이번에 장모님네 오세요 ?? 아니요 ?? ㅋㅋㅋ 아 넵 삼촌 올 때 호두과자 부탁해요 ^^,0
선배 바빠요? 아니 그게 아니라 선배만 돈을 입금 안 해주셔서요 ㅋㅋㅋ 여기 계좌에요 여기로 보내시면 됩니다 이번 술값이에요 ㅋㅋ,0
장모님이 ?? 어디로 가야돼 ?? 아 알겠어 거기로 금방 갈게 근데 어디가 아프신데 ?? 으이구 알겠다~~ ,0
선생님 안녕하세요 저는 금화초등학교에 다니는 선생님은 뭐 하시고 계신가요 ?? 저는 건담프라모델을 만들고 있어요 감사해요,0
누나 혹시 엄마가 냉장고에 뭐 안 만들고 갔어 ?? 아니 누나가 다 먹은 줄 알고 그랬지 엄마가 오늘 뭐 시켜먹으라는데 안 올거임 ? 그래 알겠다 ,0
"다들 이태원클라스 봤니 ? 진짜 재밌지? ㅋㅋㅋ 김다미는 진짜 천재야 박서준 불쌍해 아빠 죽어서 맞아 맞아 ㅋㅋㅋㅋㅋ
 이태원 클라쓰 지금 봤는데 진짜 재밌네 키키
 박서준이랑 이다미 나오는 거 맞지
 진짜 박서준 완전 멋있잖아 키키
맞아 키키 이다미 진짜 천재야 ㅠㅠ",0
귀멸의 칼날 네즈코 오빠는 참 불쌍해요 너무 멋있어 오빠 ~~,0
엄마 나 오늘 친구랑 서울가서 놀려고 하는데 혹시 5만원만 빌려줄 수 있어 부탁해 엄마~,0
아빠 오늘 밥 먹고 들어가 그래서 좀 늦을 거 같애 걱정하지 말고 먼저 자 나 조심히 들어갈게,0
야 오랜만인다 잘 지내 우리 연락 좀 하고 지내자 승규야 요번주 주말에 시간 되면 볼까,0
야 범죄도시 존나 재밌더라 너 꼭 봐라 마동석 지림 그리고 초롱이가 존나 웃기더라ㅋㅋ,0
오늘 저녁 먹은 거 여기 카카오페이로 돈 보내고 이자까지 쳐서 3만원 보내라 알겠냐?,0
엄마 뉴스 봤어 한국인이 싱가포르 여자 화장실에 몰카 설치했대 그니까 다른 사람 화장실 모습을 왜 찍지,0
