메시지,label
"형 뭐함? 바쁜거 아님 내 좀 도와주라 급해서 그러는데, 부탁하나만 해도 돼? 지금 폰 고장 나서 전화 안됨 내 친한 친구한테 결제처리 대신 해주기로 부탁 받고 입금받았는데 오류나서 이체 안됨 돈 좀 보내줘라 오류 풀리면 바로 보내줄게 빨리 부탁함",1
"엄마 바빠? 엄마 나 지금 폰 고장나서 수리 맡기고 지금 pc로 카톡 보내~ㅠㅠ 급해서 그러는데, 부탁하나만 해도 돼? 급히 결제할 거 있어서 그러는데 엄마가 대신 먼저 해주시면 안돼? 이체가 안되는 상황이라 그래 엄마 저녁에 돌려줄게 엄마 아직이야",1
누나 바빠? 핸드폰 고장나서 카톡 바꿨어. 이걸로 추가해 폰이 고장나서 전화로 안되는데 누나가 대신 결제 좀 해줘ㅜㅜ 아니면 내가 회사가서 할테니까 신분증이랑 카드 번호 사진 좀 찍어서 보내줘!,1
엄마~나 폰이 고장나서 피씨카톡으로 보내 급하게 회사에 제출해야 하는게 있는데 이따 폰 고치면 바로 줄게 나 상품권 대신 사서 보내줘 이거 10장 사면 엄마 폰으로 핀번호가 문자로 갈껀데 그거 복사해서 나 보내줘.. 이따 바로 입금할게 급해 지금 해줘,1
엄마~!!! 부탁 하나 해도 될까? 폰이 먹통이라 PC로 톡해. 지갑 두고 나왔는데 급히 결제할게 있어서 대신 결제해줄 수 있을까? 집 가서 설명할게 우선 입금 부탁해요! 응 엄마 50만원ㅠㅠ,1
급히 결제할 거 있어수 그러는데 엄마 대신 먼저 해주시면 안돼? 인증 오류땜에 이체 안되는 상황이라 그래 엄마 저녁까지 돌려줄게 엄마 어떻게 안돼 엄마,1
엄마 바빠? 나 폰 액정 깨져서 AS 맡겼는데 통화가 안되어서 지금 친구폰으로 문자하는 거야 폰 수리비 보험금 청구하려면 엄마꺼로 인증 받아야 하는데 확인하는대로 답장 줘 엄마 인증 받으려면 어플 설치해야 하니깐 조금 뒤에 메신저에 나 대화 뜨면 친구 추가하고 어플 설치해줘~,1
이모 부탁 하나만 드려도 될까요? 지금 폰 액정이 깨져서 AS맡기고 급하게 컴퓨터로 접속했어요 급한 일이 있어서 부탁 하나만 드려도 될까요? 어제 친구한테 받은 돈이 있는데 친구가 급하게 송금해달라고 해서 내걸로 하려니 인증서가 오류가 떠서 안되네요 이모가 먼저 보내주실 수 있어요?,1
오빠 바빠? 폰 지금 고장나서 수리맞기고 컴퓨터로 카톡하는 거야 급해서 그러는데 부탁하나만 해도 돼? 어제 친구한테 받은 돈이 있었는데 급하게 다시 송금해달라고 하는데 친구가 기다리고 있어,1
형수님 폰이 고장나서 카톡 새로 만들었어요 이거 등록해주시고 지금 바쁘세요? 형수님 저 부탁 하나만 드려도 될까요 지금 제가 급하게 이체해줘야 할 대금이 있는데 지금 인증서 오류라서 이체가 안돼거든요 그래서 드리는 말인데 형수께서 대신 이체 좀 해주실 수 있을까요 돈은 제가 5시까지 차질없이 갚아드릴게요,1
