메시지,label
엄마 바빠? 나 지금 폰 고장나서 수리 맡기고 컴퓨터로  카톡하고 있어. ,1
급해서 그런데 부탁하나만 해도 돼? 공장에 대금 결제할 게 있는데 OPT 카드를 안 가지고 나왔어. 오늘 퇴근 하면 바로 줄 테니까  300만원만 이체해 줄 수 있어? 계좌번호는 1234-56-789610 이거야.,1
"오빠 바빠? 폰 지금 고장나서 수리 맡기고 컴퓨터로 카톡하는 거야. 급해서 그러는데, 부탁하나만 해도 돼?",1
어제 친구한테서 받은 돈이 있는데 급라게 지금 다시 송금해 달라고 하는데,1
"급하게 결제할 거 있어서 그러는데 엄마 대신 먼저 해주시면 안 돼? 인증서 오류 때문에 이체가 안 되는 상황이라 그래 엄마~ 어떻게 안 돼, 엄마?",1
형수님 폰이 고장나서 카톡 새로 만들었어요 이거 등록해주시고 지금 바쁘세요? 형수님 저 부탁하나만 드려도 될까요?,1
아 지금 제가 급하게 이체해줘야할 대금이있는데 지금 인증서가 오류라서 이체가 안되거든요 그래서 드리는 말인데 형수께서 대신 이체좀 해주실수있을까요? 돈은 제가 5시까지 차질없이 갚아드릴게요,1
이모 부탁드릴게요 ㅠㅠ 98/97 만원 두번 나눠서 해주실수 있으세요 ? 번거롭게 해서 죄송해요 이모 보내면 톡 주세요~ 거래처 사람이에요 어제 받아논 계좌라 ㅠㅠ 이모 부탁드릴게요 이모 언제쯤 가능하세요? 알겠어요~ 입금하면 톡 주세요,1
장모님 저 급히 송금할데가 있는데 장모님 저 대신 먼저 보내주시면 안되나해서요 60만원이에요. 제가 내일 장모님꼐 보내드릴게요.,1
장모님 여기 세곳에 각 20만원씩 보내주시면 되세요. 번거롭게 해드려서 죄송해요,1
엄마 엄마 ㅠㅠ 나 지금 핸드폰 액정이 나가서 폰을 as 맡기고 컴퓨터로 접속했어 나 지금 전화 고장으로 전화가 안 되서 그래 톡을 줘 급한 일이 있어서 그래,1
친구가 자기 통장이 이체한도가 찻다면서 보증금을 나한테로 받아 놓은거야 오늘 이체해주기로 했는데 은행 인증서 오류 때문에 못 해주고 있어 580만원이야,1
누나 바빠? 핸드폰 고장나서 카톡바꿨어 이걸로 추가해줘 누나 다름이 아니라 나 부탁하나 해도 될까? 급히 송금해줘야될 금액이 있는데 공인 인증서 오류 떔에 이체가 안나가서 그러는데 누나 먼저 대신 보내줄수있어? 이따가 오후쯤 다시 보내줄게,1
엄마 바빠? 나 폰 엑정이 나가서 수리 맡겼어 폰 수리 맡기고 컴퓨터로 접속했어 ㅠㅠ 저녁쯤 대아폰 찾을수 있대 엄마 지금 인터넷 뱅킹 가능해? 일떔에 돈 보낼 곳이 있는데 공인 인증서가 안되서 그래 폰 찾는대로 바로 보내줄게,1
나 지금 급히 이체를 해줘야 하는데 카드비번 오류 되서 그래요 가능하면 93만원 먼저 해줄 수 있어요? 비번 풀리면 5시까지 보내줄게요 ? ,1
결제건이에요 ? 급한데 부탁할게요 ~~ 지금 바로 가능하죠? 잠시만요?,1
아빠 오후에 마지막 인증 한번만 더 받으면 되요 아직은 새거 필요없어요 좀 더 쓰다가 새거로 아빠 보험처리 이제 다 했어요 5일 안으로 보험금 지불한다네요 감사합니다,1
엄마 뭐해? 부탁하나 해도 돼? 지금 일 때문에 고객한테 급히 송금해줘야 될 곳이 있는데 아까 폰이 터치안되는 상황에 될 곳이 있는 아까 폰이 터치 안되는 상황에 계좌이체 여러번 시도했더니 통장비밀번호 오류 생겨서 이체 못해주고 잇어 대신 해줄수 있어 엄마?,1
받아둔 돈 오늘 줘야 되는데 내 카드 분실 되고 연이 카드는 한도가 안되서 그래서 엄마 한테 부탁 하는거지 통장에 돈은 잇어 나도 분실 되서 사용이 안되 엄마 이체 안되 ? 이체 되면 계좌 줄테니 엄마가 좀 먼저 해줄래 ?,1
삼촌 많이 바쁘신가요? 아 네 죄송한데요 삼촌 저 뭐 하나 부탁드려도 되나요 ?  저 지금 급히 결제할 데가 있어서 그러는데요 인터넷 뱅킹 비밀번호 오류 초과되어서 안되고 그래요,1
