지역본부,소속,선명,역이름,년,월,일,시,분,요일,역/열차,장소,세부장소,성별,나이,음주,세부내용,부상상태
강원,태백관리역,영동선,태백역,16,1,23,17 ,0,토,역,선로,이동통로,여,61,무,"관광열차 승차를 위하여 건널목 이동중 다른 고객에게 밀쳐서 넘어지게 되면서 머리, 무릎, 손에 부상을 당함",경상
강원,청량리열차승무사업소,영동선,태백역,16,1,28,14 ,0,목,무궁화,객차승강문,객차승강문,남,89,무,#1635 열차를 이용중 태백역에서 하차하기 위하여 이동중 객실출입문에 손가락이 협착되어 왼쪽 손가락 부상으로 병원이송 후 수술,경상
강원,영주열차승무사업소,영동선,태백역,16,1,31,12 ,10,일,무궁화,객실,객실,남,10,무,#4626 관광열차 고한-추전 구간에서 열차 흔들림으로 보호자가 들고있던 뜨거운 물이 아이의 허벅지 부분에 쏟아져서 화상을 당하여 병원이송,경상
강원,영주열차승무사업소,영동선,철암,16,2,9,11 ,20,화,무궁화,객실,이동통로,여,74,무,#1682 열차가 경주역을 지날무렵 화장실 이용을 위하여 3호차로 이동중 열차 흔들림으로 인해 객실통로에서 넘어져 다침,경상
강원,영주열차승무사업소,영동선,정동진,16,2,19,13 ,10,금,무궁화,객실,객차화장실,여,17,무,#1682 열차 2호차 화장실에서 열차 흔들림으로 인해 방열판에 접촉하여 화상을 입고 여객전무의 응급조치후 강릉 고려병원으로 이송,경상
강원,코레일관광개발 강원지사,영동선,영업처,16,2,27,11 ,30,토,새마을,화장실,객차화장실,남,6,무,#4364(바다열차) 1호차 화장실 이용도중 방열판에 접촉하여 화상을 입고 인근 병원(삼척의료원)으로 이송,경상
강원,정동진관리역,영동선,묵호역,16,3,9,12 ,28,수,기타,기타,선로,여,71,무,"#1631 열차 -동해-묵호간 운행중 152km000지점 무단 횡단, 열차에 접촉하여 사망",사망
강원,동해관리역,영동선,옥계역,16,3,11,20 ,20,금,기타,기타,선로,남,74,무,"#3127 묵호-옥계간 운행 중 164km000지점 무단횡단, 열차에 접촉하여 사망",사망
강원,정동진관리역,영동선,정동진역,16,3,20,14 ,26,일,기타,기타,건널목,남,34,무,"#1633열차 통과전 건널목차단기 작동을 인지하지 못하고 진입 중 차단기와 접촉, 차량 상부 긁힘",대물
강원,태백관리역,영동선,태백역,16,4,19,16,25,화,무궁화,객실,객실,여,81,무,#4698 임시관광열차/태백역에서 정차중(승무원 교대) /고객 한분이 중심을 잃고 노래방기를 넘어뜨려서 앉아 있던 정종석 고객(부상자) 왼쪽 팔목 부상,경상
